id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
tm1020326;Deadly Illusions;MOVIE;2021;R;['thriller'];0.000000;18.367001;18.367001
tm1020520;A Stand Worthy of Men;MOVIE;2021;;['drama', 'comedy'];7.200000;0.000000;0.000000
tm1020438;Spiderhead;MOVIE;2022;R;['scifi', 'thriller', 'drama', 'action', 'crime'];5.400000;996.869019;996.869019
tm1020073;Thunder Force;MOVIE;2021;PG-13;['scifi', 'comedy', 'fantasy', 'action'];4.400000;47.631001;47.631001
tm1020820;Night Teeth;MOVIE;2021;;['crime', 'drama', 'fantasy', 'horror', 'thriller', 'comedy', 'action'];5.600000;68.072998;68.072998
tm1021689;The Door Into Summer;MOVIE;2021;;['scifi'];6.300000;0.000000;0.000000
tm1020851;Back to the Outback;MOVIE;2021;PG;['animation', 'comedy', 'family'];6.500000;155.020996;155.020996
tm1022280;Maha Samudram;MOVIE;2021;;['drama'];0.000000;1.855000;1.855000
tm1022103;Outlaws;MOVIE;2021;R;['crime', 'action', 'thriller'];6.900000;67.192001;67.192001
tm1022912;One;MOVIE;2021;;['drama', 'thriller'];6.500000;2.237000;2.237000
tm1022893;Dynasty Warriors;MOVIE;2021;PG-13;['action', 'fantasy'];4.700000;165.339005;165.339005
tm1021871;The Starling;MOVIE;2021;PG-13;['comedy', 'drama', 'fantasy'];6.300000;24.671000;24.671000
tm1020701;La Vocera;MOVIE;2020;;['documentation'];7.200000;1.679000;1.679000
tm102337;A Nightmare on Elm Street;MOVIE;2010;R;['horror', 'thriller', 'crime', 'drama'];5.200000;39.672001;39.672001
tm1023438;Trapped;MOVIE;2021;;['drama'];6.400000;1.631000;1.631000
tm1023388;Madame Claude;MOVIE;2021;;['crime', 'drama', 'romance'];5.400000;15.666000;15.666000
tm1024535;The Guardian;MOVIE;2021;;['drama', 'horror', 'music', 'thriller', 'crime'];5.700000;2.932000;2.932000
tm1025493;Dasvi;MOVIE;2022;;['comedy', 'drama'];7.400000;3.327000;3.327000
tm1026043;Just in Time;MOVIE;2021;;['comedy', 'drama', 'family'];6.900000;1.219000;1.219000
tm1025616;Loyiso Gola: Unlearning;MOVIE;2021;;['comedy'];5.900000;1.884000;1.884000
tm1025318;Ajeeb Daastaans;MOVIE;2021;;['drama', 'romance'];6.700000;5.751000;5.751000
tm1024062;Nayattu;MOVIE;2021;;['thriller', 'drama', 'crime'];8.100000;2.432000;2.432000
tm1026240;Perfume Imaginary Museum �Time Warp�;MOVIE;2020;;['music'];6.500000;1.555000;1.555000
tm1027177;Sarbath;MOVIE;2021;;['romance', 'drama', 'comedy'];5.600000;1.951000;1.951000
tm1027639;Annaatthe;MOVIE;2021;;['drama', 'action', 'comedy'];4.000000;3.922000;3.922000
tm1027297;Time;MOVIE;2021;;['comedy', 'drama'];0.000000;1.881000;1.881000
