id;title;type;release_year;age_certification;genres;imdb_score;tmdb_popularity;tmdb_score
ts105441;Greatest Events of WWII in Colour;SHOW;2019;;['documentation', 'history', 'war'];8,7;7,929;8,6
ts227305;Tiger King;SHOW;2020;TV-MA;['documentation', 'crime'];7,5;9,63;7
tm943774;The Old Ways;MOVIE;2020;R;['fantasy', 'horror', 'thriller', 'drama'];5,4;9,583;7,2
ts88469;Undercover;SHOW;2019;TV-MA;['drama', 'crime', 'thriller'];7,8;17,659;8
tm824488;The Art of Incarceration;MOVIE;2019;;['documentation'];8,6;0,664;
tm428557;The Laundromat;MOVIE;2019;R;['drama', 'history', 'comedy', 'crime'];6,3;10,319;6
tm878333;Pok�mon the Movie: Secrets of the Jungle;MOVIE;2020;;['family', 'fantasy', 'animation', 'action', 'scifi'];6,4;110,86;7,027
tm893480;Project Power;MOVIE;2020;R;['crime', 'scifi', 'action', 'thriller'];6;22,48;6,5
tm413660;In the Tall Grass;MOVIE;2019;;['drama', 'thriller', 'scifi', 'horror'];5,4;15,188;5,5
ts284800;Criminal: UK;SHOW;2019;TV-MA;['crime', 'drama', 'thriller'];7,6;12,302;7,429
tm820190;#Alive;MOVIE;2020;;['horror', 'thriller', 'action', 'drama'];6,3;58,967;7,3
tm853953;Tremors: Shrieker Island;MOVIE;2020;PG-13;['action', 'horror'];;21,871;6,3
ts88262;Traitors;SHOW;2019;TV-MA;['war', 'drama', 'thriller', 'history'];6,6;4,526;6,8
ts286390;Merli: Dare to Know;SHOW;2019;TV-MA;['comedy', 'drama'];7,6;52,228;8,4
ts224907;Backstreet Rookie;SHOW;2020;TV-14;['drama', 'comedy', 'romance', 'action'];7,4;29,819;7,5
ts161737;Dare Me;SHOW;2019;TV-MA;['thriller', 'crime', 'drama', 'reality'];6,6;15,001;7,9
ts225867;The English Game;SHOW;2020;TV-14;['drama'];;13,746;7,7
ts187541;Hotel Del Luna;SHOW;2019;TV-14;['romance', 'action', 'comedy', 'drama', 'fantasy', 'horror', 'scifi'];8,2;32,042;8,7
tm464662;Tread;MOVIE;2020;;['crime', 'documentation'];7,1;2,637;6,7
tm455568;Paddleton;MOVIE;2019;R;['drama', 'comedy'];7,1;7,339;7
ts88283;Wu Assassins;SHOW;2019;TV-MA;['scifi', 'action', 'crime', 'drama', 'fantasy'];6,4;15,475;7,3
tm471967;Lost Girls;MOVIE;2020;R;['thriller', 'drama', 'crime'];6,1;12,547;6,1
tm447788;Fyre;MOVIE;2019;;['documentation', 'crime', 'music'];7,2;9,805;6,9
ts215341;The Gentlemen's League;SHOW;2019;TV-G;['reality'];;10,495;8
tm361998;The Wolf's Call;MOVIE;2019;;['thriller', 'action', 'scifi', 'war', 'drama', 'european'];6,9;15,545;7,6
ts105047;To the Lake;SHOW;2019;TV-MA;['thriller', 'drama', 'scifi'];7,2;13,757;7,5
tm451078;Pokemon the Movie: Mewtwo Strikes Back - Evolution;MOVIE;2019;PG;['animation', 'action', 'fantasy', 'family'];5,7;146,188;6,7
tm414341;The Red Sea Diving Resort;MOVIE;2019;R;['history', 'drama', 'thriller'];6,6;14,205;6,9
ts215691;Teenage Bounty Hunters;SHOW;2020;TV-MA;['comedy', 'drama', 'action', 'crime'];7,6;16,492;7,9
tm450375;Thackeray;MOVIE;2019;;['drama', 'history', 'action'];5,3;2,821;5,3
ts90729;Away;SHOW;2020;TV-14;['drama', 'scifi', 'romance'];6,6;16,426;6,8
tm437221;Charlie Says;MOVIE;2019;R;['drama', 'documentation', 'crime'];5,9;11,349;5,9
tm845496;Crip Camp: A Disability Revolution;MOVIE;2020;R;['documentation', 'history'];7,7;10,547;7,3
ts242820;Floor is Lava;SHOW;2020;TV-Y7;['reality'];5,3;9,617;7,8
ts288350;Julie and the Phantoms;SHOW;2020;TV-G;['scifi', 'fantasy', 'music', 'comedy', 'drama', 'family', 'documentation'];8,4;13,926;8,584
tm449105;Polar;MOVIE;2019;R;['action', 'drama', 'crime', 'thriller', 'european'];6,3;30,208;6,3
tm418847;The Silence;MOVIE;2019;PG-13;['drama', 'thriller', 'fantasy', 'horror', 'scifi', 'european'];5,3;35,51;6,04
ts89744;How to Sell Drugs Online (Fast);SHOW;2019;TV-MA;['comedy', 'crime', 'drama', 'romance'];7,9;26,381;8,3
ts82361;Ultraman;SHOW;2019;TV-14;['animation', 'action', 'scifi', 'fantasy', 'drama'];6,8;30,084;7,1
tm498803;Spenser Confidential;MOVIE;2020;R;['action', 'comedy', 'drama', 'thriller', 'crime'];6,2;21,502;6,545
tm819950;Anima;MOVIE;2019;;['music'];;7,375;7,4
ts250801;Dark Desire;SHOW;2020;TV-MA;['thriller', 'drama'];6,5;122,06;7,3
tm315255;Ip Man 4: The Finale;MOVIE;2019;PG;['action', 'drama', 'history'];7;19,541;7,2
ts223986;The Circle;SHOW;2020;TV-MA;['reality'];7,2;7,905;7,7
tm853783;David Attenborough: A Life on Our Planet;MOVIE;2020;PG;['documentation'];8,9;15,935;8,5
ts216522;BEASTARS;SHOW;2019;TV-MA;['animation', 'drama', 'crime', 'fantasy', 'romance', 'thriller'];7,7;66,572;8,7
ts82851;Messiah;SHOW;2020;TV-MA;['drama', 'thriller'];7,6;19,659;7,4
